Inconsistent movie (missing id or title or year or director): Movie Details - ID: MSe10, Title: Dough and Dynamite, Year: 1914, Director: null, Cats: [Comd].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MSe15, Title: Fatty and Mabel at the San Diego Exposition, Year: 1915, Director: null, Cats: [Comd].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MSe18, Title: Fatty and Mabel's Simple Life, Year: 1915, Director: null, Cats: [Comd].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: LB9, Title: El grand cavalcodos, Year: 0, Director: Bunuel, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Becky Sharp, Year: 1935, Director: Mamoulian, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Rings on her Fingers, Year: 1942, Director: Mamoulian, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Summer Holiday, Year: 1948, Director: Mamoulian, Cats: [Musc].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Silk Stockings, Year: 1957, Director: Mamoulian, Cats: [Musc].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Menschen am Sonntag, Year: 1929, Director: Edgar G. Ulmer, Cats: [Docu].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Pi\`eges, Year: 1939, Director: R.Siodmak, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Son of Dracula, Year: 1943, Director: R.Siodmak, Cats: [Horr].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Cobra Woman, Year: 1944, Director: R.Siodmak, Cats: [Camp].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Phantom Lady, Year: 1944, Director: R.Siodmak, Cats: [Noir].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: The Spiral Staircase, Year: 1945, Director: R.Siodmak, Cats: [Susp].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Nocturne, Year: 1946, Director: R.Siodmak, Cats: [Myst].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: The Killers, Year: 1946, Director: R.Siodmak, Cats: [Susp, Noir].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: The Dark Mirror, Year: 1946, Director: R.Siodmak, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: Criss Cross, Year: 1948, Director: R.Siodmak, Cats: [Dram].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: The Spiral Staircase, Year: 1948, Director: R.Siodmak, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: null, Title: The Crimson Pirate, Year: 1952, Director: R.Siodmak, Cats: [Actn].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: WS45, Title: Catherine of Russia, Year: 0, Director: W.Staudte, Cats: [Ctxx].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: AS22, Title: Morgan Stewart's Coming Home, Year: 0, Director: Alan~Smithee, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: AS32, Title: Raging Angels, Year: 0, Director: Alan~Smithee, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: RHd2, Title: Stop Train 349, Year: 0, Director: Haedrich , Cats: [Susp].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: IAv12, Title: Karate Kid, Year: 0, Director: J.G.Avildsen , Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MS0, Title: The Eternal City, Year: 0, Director: Scorsese, Cats: [Dram].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MS36, Title: Gangs of New York, Year: 0, Director: Scorsese , Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: WiW30, Title: Buena Vista Social Club, Year: 0, Director: Ullrich Felsberg, Cats: [Musc].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: DLy25, Title: Mulholland Drive, Year: 0, Director: D.Lynch, Cats: [Ctxx].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: AEy13, Title: Sarabande, Year: 0, Director: Egoyan, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: CsS15, Title: Fairy Tale: A True Story, Year: 0, Director: Sturridge, Cats: [Fant].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: BeM10, Title: Batman, Mask of The Phantasm, Year: 1993, Director: null, Cats: [Cart].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: KDo1x, Title: , Year: 0, Director: , Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: TdC13, Title: Jerry and Tom, Year: 0, Director: diCillo, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: Z9590, Title: The Shanghai Triad, Year: 0, Director: UnYear95, Cats: [CnRb].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: AbK15, Title: Taste of Cherry, Year: 0, Director: Kiarostami, Cats: [Dram].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MkJ11, Title: The Matchmaker, Year: 0, Director: M.Joffe, Cats: [Romt, Comd].
Inconsistent movie (missing id or title or year or director): Movie Details - ID: MJu15, Title: All is Routine, Year: 0, Director: M.Judge, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: LDo10, Title: Knockout, Year: 2000, Director: null, Cats: null.
Inconsistent movie (missing id or title or year or director): Movie Details - ID: RSc10, Title: Crime + Punsihment in Suburbia, Year: 2000, Director: null, Cats: null.
