David J. Stewart

Glen Shadix
Julie Bishop
Jean Champion
Chris Ellis
Oyafunmike Ogunlano
Pauline Starke
Anna Cromwell
Lauren Tom
Emily Woof
Maddie Corman
Rosamund Greenwood
Juan DeLaCruz
Cicely Tyson
Iam McNiece
Christopher Hewett
Maggie Cousineau-Arndt
Sibham McKenna
Badi Uzzama
Stefano Satta Flores
Vittorio DeSica
William Alland
Pierre Bourgault
Grainger Hines
Timmerman
Chalie Martin Smith
Ray Danton
Pina Pellicer
Alan Drummond
Frank Aragon
Arleen Whelan
Maria Barranco
Cathryn Caviness
Country Joe and the Fish
Robert Hays
Robbie Robertson
Raymond Walburn
Bertice Reading
Julia Foster
Maximilan Schell
Phillipe DeLacy
Jennifer Warren
Artur Barcis
Debra Feuer
Patrick ONeal
Dick Dale
Emmet Walsh
Tran Nu YenKhe
Vann Gravage
Jimmy Gleason
Marcel Lupovici
William Tracy
Bengt Ekerod
Val Bosoglio
Gloria Mejia
Rob Roy
George Furth
Irvin Allen
Ernst Borgnine
Frank Military
Jimmy Finlayson
Irene Miracle
Ulf Friberg
Claudia Dell
Ida Lupino
Anna Devere Smith
Emma Thompson
Gregg Weaver
Judith Flex
Leo Lissek
Michael Francis Clarke
Marc Michel
Caroline Lang
Anthony Steele
Scott Zeller
Angie Dickinson
Snub Pollard
Ruggiero Raimondi
Olga Slade
Bruce Myles
Rick Rossotich
Mogens Wieth
Lucinda Jenny
John Hobbs~jr
Victor Wang
Anne Nagel
Mitzi Green
Burt Young
Elena Verdugo
Bernard Mazzinghi
Lee Marvin
Dan Resin
Paul Ford
Phillip Carter
Stephen Fung
Ron Jeremy
Sam Huntington
Sarita Khajuria
Lionel Pape
David Bowie
Cyril Fletcher
Leigh Taylor-Young
Kyo Machiko
Godfrey Teale
Barbara Harris
Liam Neeson
Willie Brown
Basil Wallace
Ray Bolger
Richard B. Shull
Cathy Motiarty
Robert Forster
Chika Awashima
Stephen McHattie
Emile Chatard
Dylan Brown
Kamuela C. Searle
Dennis Moore
Gwyneth Palthrow
Haya Harareet
Jane Dulo
Heather Mitchell
Friedrich Ledebur
Helen Stanton
Miriam Cooper
John Qualen
Amanda Peet
E.G. Marshall
Robert Malone
Dolly Haas
David Bower
Mare Winningham
Leslie Neilson
Donelly
Danny Kaye
Gabriele Fezetti
Isabelle Pia
Cao Cuifen
Peter Whitney
Elizabeth Wien
Ken Christy
Andre Dussollier
Laurene London
Suman Ranganathan
Marcie Barkin
Cathy Down
Samantha Eggert
Arthur Wontner
Alice Cooper
Sylvana Henriques
Maria deMadeiros
Jacques P\'errin
Rory Calhoun
Edward G. Robinson
Diane Vacaru
Ferdinand Marian
Rolf Lassgard
Joanne Dru
Margaret Fealy
Dann Florek
Margot Grahame
Amy Wright
Barton McLaine
Janet Blair
Nicholas Cage
Richard Whorf
Francois Morel
Katerina Witt
Ina balin
Harold Bergman
Teller
Harris Gulin
Richard M. Nixon
Erin Flannery
John Vernon
Portland Mason
Richard Evans
Leopold Kramer
Jack Richardson
Francis deWolff
Martin Milner
Marco Tulli
Cynthia Gibb
Michael Sacks
David L. Lander
Richard Benedict
Peggy Mount
I.Stanford Jolley
Dana Barron
Vivian Kubrick
Patty Yatsutake
James Dunn
Michel Ray
Morgan Freeman
Les Lannow
Erik Bruhn
Laila Morse
Saffrom Burrows
Tomothy Carhart
Bernard Noel
Kurt Raab
Ben Soutten
Phillippe deLacy
Hugette Duclos
Joe Spano
Tia Carriere
Joe Dobisch
Jaques Sojcher
Maurice Garrel
Niklas Hjulstrom
Jaques Dutronc
Suasanna Foster
Peter Lazer
Ruth Terry
Nino Martini
Ralph Michael
Ashot Adamian
Louise Beavers
Lawrence Dobkin
Billy Chrystal
Ramon Novorro
Winnie Lightner
Robert Hale
Yvonne Lime
Hugo Speer
Siegfried Breuer
Jody McCrea
John Richardson
James Barton
Robert Klein
Rogney Bewes
Christopher Geoge
Roscoe Collins
Paul Onsongo
Peter Breck
Kjell Bergquist
John Ritter
Monica Keena
Godfrey Cambridge
William Redfield
Daisy Belmore
Julie Harris
Thomas Langmann
Georgina Hale
Virginia Fox
Walter Connolly
Daniel Celin
Brian McNamara
Keenan Wynn
Trilby Clark
